lane_count,speed_limit_kmph,blackspot_score,latitude,longitude,day_of_week,hour_of_day,vehicle_count_per_hr,avg_speed_kmph,green_duration_s,red_duration_s,yellow_duration_s,cycle_time_s,violations_count,veh_count_at_accident,accident_occurred,vehicles_involved
2.0,47.0,0.318,17.314579,78.567384,1.0,0.0,303.0,16.2,64.0,53.0,6.0,123.0,0.0,303.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,1.0,317.0,18.3,53.0,102.5,4.0,167.375,0.0,317.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,2.0,412.0,24.8,45.0,89.0,4.0,138.0,0.0,412.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,3.0,333.0,7.6,77.0,102.5,7.5,167.375,0.0,333.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,4.0,298.0,22.5,80.0,93.0,7.5,167.375,1.0,298.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,5.0,202.0,32.3,72.0,102.5,5.0,167.375,1.0,202.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,6.0,858.0,10.3,58.0,67.0,6.0,131.0,2.0,858.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,7.0,416.0,19.0,40.0,52.0,5.0,118.375,1.0,416.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,8.0,440.0,18.0,44.0,101.0,5.0,150.0,1.0,440.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,9.0,1078.0,16.2,40.0,70.0,3.5,118.375,0.0,1078.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,10.0,1164.0,23.6,40.0,50.5,6.0,118.375,2.0,1164.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,11.0,519.0,14.2,76.0,102.5,6.0,167.375,2.0,519.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,12.0,213.0,18.5,40.0,50.5,4.0,118.375,1.0,213.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,13.0,409.0,25.1,70.0,50.5,7.0,118.375,2.0,409.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,14.0,306.0,18.3,79.0,98.0,4.0,167.375,1.0,306.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,15.0,434.0,13.1,60.0,77.0,6.0,143.0,1.0,434.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,16.0,778.0,23.6,41.0,78.0,6.0,125.0,1.0,778.0,True,1.0
2.0,47.0,0.318,17.314579,78.567384,1.0,17.0,513.0,21.2,69.0,82.0,3.5,154.0,2.5,513.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,18.0,976.0,9.0,60.0,77.0,6.0,143.0,1.0,976.0,True,2.0
2.0,47.0,0.318,17.314579,78.567384,1.0,19.0,822.0,15.5,60.0,102.5,6.0,167.375,2.5,822.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,20.0,524.0,13.5,57.0,71.0,7.5,136.0,0.0,524.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,21.0,898.0,11.7,56.0,84.0,7.5,148.0,0.0,898.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,22.0,492.0,16.3,40.0,50.5,7.5,118.375,1.0,492.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,1.0,23.0,468.0,9.4,73.0,89.0,3.5,165.0,2.0,468.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,0.0,300.0,12.6,50.0,68.0,5.0,123.0,2.0,300.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,1.0,742.0,5.0,43.0,91.0,4.0,138.0,1.0,742.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,2.0,494.0,16.7,60.0,77.0,6.0,143.0,1.0,494.0,True,1.0
2.0,47.0,0.318,17.314579,78.567384,2.0,3.0,284.0,23.2,65.0,77.0,5.0,147.0,1.0,284.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,4.0,614.0,14.7,67.0,102.5,7.5,167.375,0.0,614.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,5.0,1081.0,5.0,71.0,102.5,6.0,167.375,2.0,1081.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,6.0,631.0,23.6,42.0,66.0,5.0,118.375,1.0,631.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,7.0,0.0,0.0,78.0,88.0,4.0,167.375,0.0,0.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,8.0,1259.0,5.0,40.0,50.5,7.0,118.375,0.0,1259.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,9.0,895.0,23.6,40.0,100.0,5.0,145.0,0.0,895.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,10.0,1254.0,5.0,80.0,73.0,4.0,162.0,1.0,1254.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,11.0,1060.0,9.1,79.0,95.0,6.0,167.375,1.0,1060.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,12.0,464.0,18.7,79.0,100.0,3.5,167.375,2.0,464.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,13.0,326.0,18.6,53.0,91.0,7.0,151.0,1.0,326.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,14.0,577.0,14.4,60.0,77.0,6.0,143.0,1.0,577.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,15.0,404.0,16.1,40.0,102.5,3.5,140.0,1.0,404.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,16.0,278.0,30.5,79.0,67.0,4.0,150.0,0.0,278.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,17.0,533.0,14.0,60.0,102.5,7.0,167.375,2.5,533.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,18.0,961.0,5.0,60.0,102.5,4.0,167.375,0.0,961.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,19.0,1184.0,10.7,40.0,60.0,3.5,118.375,1.0,1184.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,20.0,1230.0,8.5,40.0,64.0,7.5,118.375,1.0,1230.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,21.0,1733.0,23.6,40.0,102.5,5.0,150.0,1.0,1733.0,True,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,22.0,711.0,14.8,60.0,77.0,6.0,143.0,1.0,711.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,2.0,23.0,771.0,5.0,72.0,50.5,3.5,118.375,0.0,771.0,True,1.0
2.0,47.0,0.318,17.314579,78.567384,3.0,0.0,196.0,15.4,77.0,63.0,7.5,150.0,2.0,196.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,3.0,1.0,299.0,16.2,40.0,102.5,5.0,157.0,2.0,299.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,3.0,2.0,264.0,22.0,71.0,75.0,7.0,153.0,2.0,264.0,True,5.0
2.0,47.0,0.318,17.314579,78.567384,3.0,3.0,485.0,24.0,47.0,80.0,7.5,136.0,0.0,485.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,3.0,4.0,408.0,7.1,46.0,100.0,3.5,149.0,1.0,408.0,True,3.0
2.0,47.0,0.318,17.314579,78.567384,3.0,5.0,543.0,13.6,40.0,50.5,3.5,118.375,2.5,543.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,3.0,6.0,566.0,23.6,52.0,54.0,7.0,118.375,2.0,566.0,True,1.0
2.0,47.0,0.318,17.314579,78.567384,3.0,7.0,191.0,24.2,80.0,50.5,7.0,140.0,0.0,191.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,3.0,8.0,830.0,15.4,77.0,100.0,7.0,167.375,2.5,830.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,3.0,9.0,1007.0,5.0,53.0,70.0,5.0,128.0,1.0,1007.0,False,3.0
2.0,47.0,0.318,17.314579,78.567384,3.0,10.0,1093.0,5.0,80.0,56.0,4.0,146.0,1.0,1093.0,False,3.0
